Type Calorieën	Natrium
RV 186	495
RV 181	477
RV 176	425
RV 149	322
RV 184	482
RV 190	587
RV 158	370
RV 139	322
RV 175	479
RV 148	375
RV 152	330
RV 111	300
RV 141	386
RV 153	401
RV 190	645
RV 157	440
RV 131	317
RV 149	319
RV 135	298
RV 132	253
V 173	458
V 191	506
V 182	473
V 190	545
V 172	496
V 147	360
V 146	387
V 139	386
V 175	507
V 136	393
V 179	405
V 153	372
V 107	144
V 195	511
V 135	405
V 140	428
V 138	339
G 129	430
G 132	375
G 102	396
G 106	383
G 94	387
G 102	542
G 87	359
G 99	357
G 170	528
G 113	513
G 135	426
G 142	513
G 86	358
G 143	581
G 152	588
G 146	522
G 144	545


