studie behand kapa
l1 b1 3.2
l1 b2 4.7
l1 b3 3.9
l1 b4 3.6
l1 b1 3.5
l1 b2 4.9
l1 b3 3.7
l1 b4 2.9 
l1 b1 3.1
l1 b2 3.8
l1 b3 4.1
l1 b4 3.1
l2 b1 2.9
l2 b2 3.4
l2 b3 2.4
l2 b4 3.7
l2 b1 2.4
l2 b2 3.2
l2 b3 3.2
l2 b4 3.9
l2 b1 1.9
l2 b2 3.9
l2 b3 2.8
l2 b4 3.6
l3 b1 4.0
l3 b2 4.5
l3 b3 2.8
l3 b4 2.8
l3 b1 4.3
l3 b2 4.2
l3 b3 3.0
l3 b4 2.9
l3 b1 3.8
l3 b2 4.7
l3 b3 2.7
l3 b4 3.1 
l4 b1 2.1
l4 b2 5.3
l4 b3 2.8
l4 b4 3.4
l4 b1 1.8
l4 b2 5.8
l4 b3 3.0
l4 b4 2.9
l4 b1 2.0
l4 b2 5.4
l4 b3 3.3
l4 b4 3.3
l5 b1 4.4
l5 b2 4.7
l5 b3 4.1
l5 b4 3.8
l5 b1 4.0
l5 b2 4.8
l5 b3 3.5
l5 b4 3.3
l5 b1 3.9
l5 b2 4.9
l5 b3 3.7
l5 b4 3.5
