Id	leeft	gesl	geh	gezondheid	kinderen	ses	geluk	inkomen
1	16	0	0	38	0	17	22	26
2	28	1	0	38	0	21	20	15
3	16	0	1	52	1	40	42	88
4	23	1	0	51	0	31	48	73
5	18	0	1	52	0	38	40	14
6	30	0	1	43	2	36	33	38
7	19	0	1	55	0	41	33	45
8	19	1	0	52	2	52	21	16
9	34	0	0	60	2	56	26	64
10	16	1	0	53	0	27	37	19
11	25	1	0	39	0	34	40	56
12	16	1	1	42	0	29	35	70
13	16	0	0	43	0	28	32	71
14	16	0	1	54	1	38	37	44
15	16	1	0	52	0	38	35	25
16	32	1	1	54	1	37	47	38
17	19	0	0	46	0	25	26	39
18	17	1	1	55	2	53	42	6
19	24	0	0	52	0	36	38	75
20	26	1	1	57	1	41	42	67
