 ******* Program HYDRUS
 ******* 
 Oefening 2                                                              
 Date:   3. 5.    Time:  10:32:41
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   2    -1.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   3    -2.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   4    -3.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   5    -4.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   6    -5.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   7    -6.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   8    -7.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
   9    -8.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  10    -9.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  11   -10.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  12   -11.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  13   -12.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  14   -13.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  15   -14.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  16   -15.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  17   -16.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  18   -17.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  19   -18.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  20   -19.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  21   -20.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
  22   -21.0000    -150.000 0.1123   0.7915E-03  0.4039E-03  0.0000E+00  0.0000E+00      -1   0.000E+00   20.00
