 ******* Program HYDRUS
 ******* 
 Oefening 2                                                              
 Date:   3. 5.    Time:  10:32:41
 Units: L = cm   , T = hours, M = mmol 



                               Node( 11)                      Node( 21)                      Node( 31)                      Node( 41)                      Node( 51)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          0.1000     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.1700     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.2190     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.2680     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.3170     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.3660     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.4150     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.4640     -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.5130     -149.99  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.5617     -149.97  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.6104     -149.94  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.6753     -149.76  0.1124   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.7403     -149.24  0.1127   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.8052     -147.88  0.1133   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.8701     -144.65  0.1149   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          0.9351     -138.04  0.1181   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          1.0000     -127.17  0.1233   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          1.0637     -114.10  0.1313   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
          1.1274     -100.98  0.1409   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000       -150.00  0.1123   20.000
