 ******* Program HYDRUS
 ******* 
 Oefening 2                                                              
 Date:   3. 5.    Time:  10:32:41
 Units: L = cm   , T = hours, M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E+00  0.10000E+00   10       10    -1    -5     T
        2  0.1700000E+00  0.70000E-01   10       20    -1    -5     T
        3  0.2190000E+00  0.49000E-01    6       26    -1    -5     T
        4  0.2680000E+00  0.49000E-01    6       32    -1    -5     T
        5  0.3170000E+00  0.49000E-01    6       38    -1    -5     T
        6  0.3660000E+00  0.49000E-01    4       42    -1    -5     T
        7  0.4150000E+00  0.49000E-01    5       47    -1    -5     T
        8  0.4640000E+00  0.49000E-01    5       52    -1    -5     T
        9  0.5130000E+00  0.49000E-01    4       56    -1    -5     T
       10  0.5617000E+00  0.48700E-01    5       61    -1    -5     T
       11  0.6104000E+00  0.48700E-01    3       64    -1    -5     T
       12  0.6753333E+00  0.64933E-01    5       69    -1    -5     T
       13  0.7402667E+00  0.64933E-01    5       74    -1    -5     T
       14  0.8052000E+00  0.64933E-01    4       78    -1    -5     T
       15  0.8701333E+00  0.64933E-01    5       83    -1    -5     T
       16  0.9350667E+00  0.64933E-01    4       87    -1    -5     T
       17  0.1000000E+01  0.64933E-01    5       92    -1    -5     T
       18  0.1063700E+01  0.63700E-01    4       96    -1    -5     T
       19  0.1127400E+01  0.63700E-01    4      100    -1    -5     T
       20  0.1191100E+01  0.63700E-01    4      104    -1    -5     T
       21  0.1254800E+01  0.63700E-01    3      107    -1    -5     T
       22  0.1337600E+01  0.82800E-01    5      112    -1    -5     T
       23  0.1420400E+01  0.82800E-01    4      116    -1    -5     T
       24  0.1503200E+01  0.82800E-01    5      121    -1    -5     T
       25  0.1586000E+01  0.82800E-01    4      125    -1    -5     T
       26  0.1668800E+01  0.82800E-01    5      130    -1    -5     T
       27  0.1751600E+01  0.82800E-01    4      134    -1    -5     T
       28  0.1834400E+01  0.82800E-01    5      139    -1    -5     T
       29  0.1917200E+01  0.82800E-01    3      142    -1    -5     T
       30  0.2000000E+01  0.82800E-01    4      146    -1    -5     T
       31  0.2082810E+01  0.82810E-01    3      149    -1    -5     T
       32  0.2184720E+01  0.10191E+00    5      154    -1    -5     T
       33  0.2286630E+01  0.10191E+00    4      158    -1    -5     T
       34  0.2388540E+01  0.10191E+00    5      163    -1    -5     T
       35  0.2490450E+01  0.10191E+00    4      167    -1    -5     T
       36  0.2592360E+01  0.10191E+00    5      172    -1    -5     T
       37  0.2694270E+01  0.10191E+00    4      176    -1    -5     T
       38  0.2796180E+01  0.10191E+00    4      180    -1    -5     T
       39  0.2898090E+01  0.10191E+00    4      184    -1    -5     T
       40  0.3000000E+01  0.10191E+00    4      188    -1    -5     T
       41  0.3111111E+01  0.11111E+00    5      193    -1    -5     T
       42  0.3222222E+01  0.11111E+00    4      197    -1    -5     T
       43  0.3333333E+01  0.11111E+00    5      202    -1    -5     T
       44  0.3444444E+01  0.11111E+00    4      206    -1    -5     T
       45  0.3555556E+01  0.11111E+00    5      211    -1    -5     T
       46  0.3666667E+01  0.11111E+00    4      215    -1    -5     T
       47  0.3777778E+01  0.11111E+00    4      219    -1    -5     T
       48  0.3888889E+01  0.11111E+00    4      223    -1    -5     T
       49  0.4000000E+01  0.11111E+00    3      226    -1    -5     T
       50  0.4142857E+01  0.14286E+00    5      231    -1    -5     T
       51  0.4285714E+01  0.14286E+00    5      236    -1    -5     T
       52  0.4428571E+01  0.14286E+00    6      242    -1    -5     T
       53  0.4571429E+01  0.14286E+00    5      247    -1    -5     T
       54  0.4714286E+01  0.14286E+00    4      251    -1    -5     T
       55  0.4857143E+01  0.14286E+00    5      256    -1    -5     T
       56  0.5000000E+01  0.14286E+00    5      261    -1    -5     T
       57  0.5142857E+01  0.14286E+00    4      265    -1    -5     T
       58  0.5285714E+01  0.14286E+00    4      269    -1    -5     T
       59  0.5428571E+01  0.14286E+00    5      274    -1    -5     T
       60  0.5571429E+01  0.14286E+00    4      278    -1    -5     T
       61  0.5714286E+01  0.14286E+00    4      282    -1    -5     T
       62  0.5857143E+01  0.14286E+00    5      287    -1    -5     T
       63  0.6000000E+01  0.14286E+00    4      291    -1    -5     T
       64  0.6142857E+01  0.14286E+00    4      295    -1    -5     T
       65  0.6285714E+01  0.14286E+00    5      300    -1    -5     T
       66  0.6428571E+01  0.14286E+00    4      304    -1    -5     T
       67  0.6571429E+01  0.14286E+00    4      308    -1    -5     T
       68  0.6714286E+01  0.14286E+00    5      313    -1    -5     T
       69  0.6857143E+01  0.14286E+00    4      317    -1    -5     T
       70  0.7000000E+01  0.14286E+00    4      321    -1    -5     T
       71  0.7142857E+01  0.14286E+00    4      325    -1    -5     T
       72  0.7285714E+01  0.14286E+00    4      329    -1    -5     T
       73  0.7428571E+01  0.14286E+00    4      333    -1    -5     T
       74  0.7571429E+01  0.14286E+00    4      337    -1    -5     T
       75  0.7714286E+01  0.14286E+00    4      341    -1    -5     T
       76  0.7857143E+01  0.14286E+00    4      345    -1    -5     T
       77  0.8000000E+01  0.14286E+00    4      349    -1    -5     T
       78  0.8142857E+01  0.14286E+00    4      353    -1    -5     T
       79  0.8285714E+01  0.14286E+00    4      357    -1    -5     T
       80  0.8428571E+01  0.14286E+00    4      361    -1    -5     T
       81  0.8571429E+01  0.14286E+00    4      365    -1    -5     T
       82  0.8714286E+01  0.14286E+00    4      369    -1    -5     T
       83  0.8857143E+01  0.14286E+00    4      373    -1    -5     T
       84  0.9000000E+01  0.14286E+00    4      377    -1    -5     T
       85  0.9142857E+01  0.14286E+00    4      381    -1    -5     T
       86  0.9285714E+01  0.14286E+00    4      385    -1    -5     T
       87  0.9428571E+01  0.14286E+00    4      389    -1    -5     T
       88  0.9571429E+01  0.14286E+00    4      393    -1    -5     T
       89  0.9714286E+01  0.14286E+00    4      397    -1    -5     T
       90  0.9857143E+01  0.14286E+00    4      401    -1    -5     T
       91  0.1000000E+02  0.14286E+00    4      405    -1    -5     T
end
