 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    2      0.12     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    3      0.24     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    4      0.36     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    5      0.48     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    6      0.60     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    7      0.72     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    8      0.84     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
    9      0.96     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   10      1.08     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   11      1.20     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   12      1.32     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   13      1.44     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   14      1.56     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   15      1.68     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   16      1.80     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   17      1.92     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   18      2.04     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   19      2.16     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   20      2.28     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   21      2.40     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   22      2.52     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   23      2.64     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   24      2.76     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   25      2.88     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   26      3.00     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   27      3.12     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   28      3.24     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   29      3.36     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   30      3.48     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   31      3.60     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   32      3.72     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   33      3.84     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   34      3.96     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   35      4.08     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   36      4.20     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   37      4.32     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   38      4.44     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   39      4.56     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   40      4.68     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   41      4.80     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   42      4.92     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   43      5.04     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   44      5.16     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   45      5.28     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   46      5.40     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   47      5.52     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   48      5.64     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   49      5.76     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   50      5.88     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   51      6.00     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   52      6.12     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   53      6.24     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
