 ******* Program HYDRUS
 ******* 
 Oefening 1                                                              
 Date:   3. 5.    Time:   9:11:49
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2     1     2     T
        2  0.2000000E-02  0.10000E-02    2        4     1     2     T
        3  0.3300000E-02  0.13000E-02    2        6     1     2     T
        4  0.4990000E-02  0.16900E-02    2        8     1     2     T
        5  0.7187000E-02  0.21970E-02    2       10     1     2     T
        6  0.1004310E-01  0.28561E-02    2       12     1     2     T
        7  0.1375603E-01  0.37129E-02    2       14     1     2     T
        8  0.1858284E-01  0.48268E-02    2       16     1     2     T
        9  0.2485769E-01  0.62749E-02    2       18     1     2     T
       10  0.3301499E-01  0.81573E-02    2       20     1     2     T
       11  0.4361949E-01  0.10604E-01    2       22     1     2     T
       12  0.5740534E-01  0.13786E-01    2       24     1     2     T
       13  0.7532693E-01  0.17922E-01    2       26     1     2     T
       14  0.9862501E-01  0.23298E-01    2       28     1     2     T
       15  0.1289125E+00  0.30287E-01    2       30     1     2     T
       16  0.1682863E+00  0.39374E-01    2       32     1     2     T
       17  0.2194721E+00  0.51186E-01    2       34     1     2     T
       18  0.2860138E+00  0.66542E-01    2       36     1     2     T
       19  0.3725179E+00  0.86504E-01    2       38     1     2     T
       20  0.4849732E+00  0.11246E+00    2       40     1     2     T
       21  0.6311651E+00  0.14619E+00    2       42     1     2     T
       22  0.8212147E+00  0.19005E+00    2       44     1     2     T
       23  0.1068279E+01  0.24706E+00    2       46     1     2     T
       24  0.1389463E+01  0.32118E+00    2       48     1     2     T
       25  0.1807001E+01  0.41754E+00    2       50     1     2     T
       26  0.2349802E+01  0.54280E+00    2       52     1     2     T
       27  0.3055442E+01  0.70564E+00    2       54     1     2     T
       28  0.3972775E+01  0.91733E+00    2       56     1     2     T
       29  0.5165307E+01  0.11925E+01    2       58     1     2     T
       30  0.6715599E+01  0.15503E+01    2       60     1     2     T
       31  0.8730978E+01  0.20154E+01    2       62     1     2     T
       32  0.1135097E+02  0.26200E+01    2       64     1     2     T
       33  0.1475696E+02  0.34060E+01    2       66     1     2     T
       34  0.1918475E+02  0.44278E+01    2       68     1     2     T
       35  0.2418475E+02  0.50000E+01    2       70     1     2     T
       36  0.2918475E+02  0.50000E+01    2       72     1     2     T
       37  0.3418475E+02  0.50000E+01    2       74     1     2     T
       38  0.3918475E+02  0.50000E+01    2       76     1     2     T
       39  0.4418475E+02  0.50000E+01    2       78     1     2     T
       40  0.4918475E+02  0.50000E+01    2       80     1     2     T
       41  0.5418475E+02  0.50000E+01    2       82     1     2     T
       42  0.5918475E+02  0.50000E+01    2       84     1     2     T
       43  0.6418475E+02  0.50000E+01    2       86     1     2     T
       44  0.6918475E+02  0.50000E+01    2       88     1     2     T
       45  0.7418475E+02  0.50000E+01    2       90     1     2     T
       46  0.7918475E+02  0.50000E+01    2       92     1     2     T
       47  0.8418475E+02  0.50000E+01    2       94     1     2     T
       48  0.8918475E+02  0.50000E+01    2       96     1     2     T
       49  0.9418475E+02  0.50000E+01    2       98     1     2     T
       50  0.9709237E+02  0.29076E+01    2      100     1     2     T
       51  0.1000000E+03  0.29076E+01    2      102     1     2     T
end
