

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000 -0.128000E+00  0.000000E+00 -0.128000E+00  0.000000E+00 -0.354959E-01    -85.794      0.000   -100.000       1
     2.00000 -0.820000E-01  0.000000E+00 -0.819999E-01  0.000000E+00 -0.709918E-01   -109.549      0.000   -100.000       2
     3.00000 -0.360000E-01  0.000000E+00 -0.360000E-01  0.000000E+00 -0.106488E+00   -120.184      0.000   -100.000       3
     4.00000 -0.410000E-01  0.000000E+00 -0.410000E-01  0.000000E+00 -0.141985E+00   -114.179      0.000    -99.998       4
     5.00000 -0.320000E-01  0.000000E+00 -0.320000E-01  0.000000E+00 -0.177484E+00   -118.247      0.000    -99.995       5
     6.00000  0.700001E-02  0.000000E+00  0.699994E-02  0.000000E+00 -0.212987E+00   -130.253      0.000    -99.989       6
     7.00000  0.770000E-01  0.000000E+00  0.769999E-01  0.000000E+00 -0.248496E+00   -151.828      0.000    -99.984       7
     8.00000  0.152000E+00  0.000000E+00  0.152000E+00  0.000000E+00 -0.284002E+00   -172.146      0.000    -99.991       8
     9.00000  0.223000E+00  0.000000E+00  0.223000E+00  0.000000E+00 -0.319491E+00   -189.845      0.000   -100.014       9
    10.00000  0.261000E+00  0.000000E+00  0.261000E+00  0.000000E+00 -0.354938E+00   -180.792      0.000   -100.060      10
    11.00000  0.199000E+00  0.000000E+00  0.199000E+00  0.000000E+00 -0.390359E+00   -129.836      0.000   -100.121      11
    12.00000  0.250000E+00  0.000000E+00  0.250000E+00  0.000000E+00 -0.425711E+00   -165.099      0.000   -100.215      12
    13.00000 -0.393000E+00  0.000000E+00 -0.393000E+00  0.000000E+00 -0.460976E+00    -56.553      0.000   -100.343      13
    14.00000 -0.279000E+00  0.000000E+00 -0.279000E+00  0.000000E+00 -0.496112E+00   -108.573      0.000   -100.513      14
    15.00000 -0.298500E+01  0.000000E+00 -0.298500E+01  0.000000E+00 -0.531105E+00    -20.325      0.000   -100.721      15
    16.00000 -0.404300E+01  0.000000E+00 -0.404300E+01  0.000000E+00 -0.565902E+00    -29.277      0.000   -100.972      16
    17.00000 -0.465100E+01  0.000000E+00 -0.465100E+01  0.000000E+00 -0.600488E+00    -35.680      0.000   -101.221      17
    18.00000 -0.528100E+01  0.000000E+00 -0.528100E+01  0.000000E+00 -0.635275E+00    -35.913      0.000   -100.484      18
    19.00000 -0.729800E+01  0.000000E+00 -0.729800E+01  0.000000E+00 -0.671831E+00    -21.458      0.000    -96.554      19
    20.00000 -0.889800E+01  0.000000E+00 -0.889800E+01  0.000000E+00 -0.720739E+00    -23.067      0.000    -83.883      20
    21.00000 -0.104920E+02  0.000000E+00 -0.104920E+02  0.000000E+00 -0.877315E+00    -23.029      0.000    -50.564      21
    22.00000 -0.106140E+02  0.000000E+00 -0.106140E+02  0.000000E+00 -0.147724E+01    -42.421      0.000    -31.253      22
    23.00000 -0.121020E+02  0.000000E+00 -0.121020E+02  0.000000E+00 -0.243031E+01    -25.088      0.000    -29.299      23
    24.00000 -0.134180E+02  0.000000E+00 -0.134180E+02  0.000000E+00 -0.340278E+01    -25.682      0.000    -28.919      24
    25.00000 -0.135230E+02  0.000000E+00 -0.135230E+02  0.000000E+00 -0.446275E+01    -43.977      0.000    -28.021      25
    26.00000 -0.137140E+02  0.000000E+00 -0.137140E+02  0.000000E+00 -0.547688E+01    -46.692      0.000    -29.628      26
    27.00000 -0.136780E+02  0.000000E+00 -0.136780E+02  0.000000E+00 -0.631679E+01    -58.836      0.000    -32.327      27
    28.00000 -0.136590E+02  0.000000E+00 -0.136590E+02  0.000000E+00 -0.700601E+01    -64.212      0.000    -35.156      28
