 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E-02  0.10000E-02    2        2    -4    -5     T
        2  0.2000000E-02  0.10000E-02    2        4    -4    -5     T
        3  0.3300000E-02  0.13000E-02    2        6    -4    -5     T
        4  0.4990000E-02  0.16900E-02    2        8    -4    -5     T
        5  0.7187000E-02  0.21970E-02    2       10    -4    -5     T
        6  0.1004310E-01  0.28561E-02    2       12    -4    -5     T
        7  0.1375603E-01  0.37129E-02    2       14    -4    -5     T
        8  0.1858284E-01  0.48268E-02    2       16    -4    -5     T
        9  0.2485769E-01  0.62749E-02    2       18    -4    -5     T
       10  0.3301499E-01  0.81573E-02    2       20    -4    -5     T
       11  0.4361949E-01  0.10604E-01    2       22    -4    -5     T
       12  0.5740534E-01  0.13786E-01    2       24    -4    -5     T
       13  0.7532693E-01  0.17922E-01    2       26    -4    -5     T
       14  0.9862501E-01  0.23298E-01    2       28    -4    -5     T
       15  0.1289125E+00  0.30287E-01    2       30    -4    -5     T
       16  0.1682863E+00  0.39374E-01    2       32    -4    -5     T
       17  0.2194721E+00  0.51186E-01    2       34    -4    -5     T
       18  0.2860138E+00  0.66542E-01    2       36    -4    -5     T
       19  0.3752620E+00  0.89248E-01    2       38    -4    -5     T
       20  0.4793850E+00  0.10412E+00    2       40    -4    -5     T
       21  0.6095388E+00  0.13015E+00    2       42    -4    -5     T
       22  0.8047694E+00  0.19523E+00    2       44    -4    -5     T
       23  0.1000000E+01  0.19523E+00    2       46    -4    -5     T
       24  0.1250000E+01  0.25000E+00    4       50    -4    -5     T
       25  0.1500000E+01  0.25000E+00    2       52    -4    -5     T
       26  0.1750000E+01  0.25000E+00    2       54    -4    -5     T
       27  0.2000000E+01  0.25000E+00    2       56    -4    -5     T
       28  0.2500000E+01  0.50000E+00    2       58    -4    -5     T
       29  0.3000000E+01  0.50000E+00    2       60    -4    -5     T
       30  0.3001000E+01  0.10000E-02    2       62    -4    -5     T
       31  0.3002300E+01  0.13000E-02    2       64    -4    -5     T
       32  0.3003990E+01  0.16900E-02    2       66    -4    -5     T
       33  0.3006187E+01  0.21970E-02    2       68    -4    -5     T
       34  0.3009043E+01  0.28561E-02    2       70    -4    -5     T
       35  0.3012756E+01  0.37129E-02    2       72    -4    -5     T
       36  0.3017583E+01  0.48268E-02    2       74    -4    -5     T
       37  0.3023858E+01  0.62749E-02    2       76    -4    -5     T
       38  0.3032015E+01  0.81573E-02    2       78    -4    -5     T
       39  0.3042619E+01  0.10604E-01    2       80    -4    -5     T
       40  0.3056405E+01  0.13786E-01    2       82    -4    -5     T
       41  0.3074327E+01  0.17922E-01    2       84    -4    -5     T
       42  0.3097625E+01  0.23298E-01    2       86    -4    -5     T
       43  0.3127913E+01  0.30287E-01    2       88    -4    -5     T
       44  0.3167286E+01  0.39374E-01    2       90    -4    -5     T
       45  0.3218472E+01  0.51186E-01    2       92    -4    -5     T
       46  0.3285014E+01  0.66542E-01    2       94    -4    -5     T
       47  0.3374387E+01  0.89373E-01    2       96    -4    -5     T
       48  0.3478656E+01  0.10427E+00    2       98    -4    -5     T
       49  0.3608992E+01  0.13034E+00    2      100    -4    -5     T
       50  0.3804496E+01  0.19550E+00    2      102    -4    -5     T
       51  0.4000000E+01  0.19550E+00    2      104    -4    -5     T
       52  0.4250000E+01  0.25000E+00    2      106    -4    -5     T
       53  0.4625000E+01  0.37500E+00    2      108    -4    -5     T
       54  0.5000000E+01  0.37500E+00    2      110    -4    -5     T
       55  0.5500000E+01  0.50000E+00    3      113    -4    -5     T
       56  0.6000000E+01  0.50000E+00    2      115    -4    -5     T
       57  0.6500000E+01  0.50000E+00    3      118    -4    -5     T
       58  0.7000000E+01  0.50000E+00    2      120    -4    -5     T
       59  0.8000000E+01  0.10000E+01    2      122    -4    -5     T
       60  0.9000000E+01  0.10000E+01    2      124    -4    -5     T
       61  0.1000000E+02  0.10000E+01    3      127    -4    -5     T
       62  0.1000100E+02  0.10000E-02    2      129    -4    -5     T
       63  0.1000230E+02  0.13000E-02    2      131    -4    -5     T
       64  0.1000399E+02  0.16900E-02    2      133    -4    -5     T
       65  0.1000619E+02  0.21970E-02    2      135    -4    -5     T
       66  0.1000904E+02  0.28561E-02    2      137    -4    -5     T
       67  0.1001276E+02  0.37129E-02    2      139    -4    -5     T
       68  0.1001758E+02  0.48268E-02    2      141    -4    -5     T
       69  0.1002386E+02  0.62749E-02    2      143    -4    -5     T
       70  0.1003201E+02  0.81573E-02    2      145    -4    -5     T
       71  0.1004262E+02  0.10604E-01    2      147    -4    -5     T
       72  0.1005641E+02  0.13786E-01    2      149    -4    -5     T
       73  0.1007433E+02  0.17922E-01    2      151    -4    -5     T
       74  0.1009763E+02  0.23298E-01    2      153    -4    -5     T
       75  0.1012791E+02  0.30287E-01    2      155    -4    -5     T
       76  0.1016729E+02  0.39374E-01    2      157    -4    -5     T
       77  0.1021847E+02  0.51186E-01    2      159    -4    -5     T
       78  0.1028501E+02  0.66542E-01    2      161    -4    -5     T
       79  0.1037439E+02  0.89373E-01    2      163    -4    -5     T
       80  0.1047866E+02  0.10427E+00    2      165    -4    -5     T
       81  0.1060899E+02  0.13034E+00    2      167    -4    -5     T
       82  0.1080450E+02  0.19550E+00    2      169    -4    -5     T
