

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000 -0.128000E+00  0.000000E+00 -0.128000E+00  0.000000E+00 -0.354959E-01    -85.792      0.000   -100.000       1
     2.00000 -0.820000E-01  0.000000E+00 -0.820000E-01  0.000000E+00 -0.709918E-01   -109.558      0.000   -100.000       2
     3.00000 -0.360000E-01  0.000000E+00 -0.360000E-01  0.000000E+00 -0.106488E+00   -120.194      0.000   -100.000       3
     4.00000 -0.410000E-01  0.000000E+00 -0.410000E-01  0.000000E+00 -0.141985E+00   -114.178      0.000    -99.998       4
     5.00000 -0.320000E-01  0.000000E+00 -0.320000E-01  0.000000E+00 -0.177483E+00   -118.249      0.000    -99.995       5
     6.00000  0.700001E-02  0.000000E+00  0.700000E-02  0.000000E+00 -0.212987E+00   -130.256      0.000    -99.989       6
     7.00000  0.770000E-01  0.000000E+00  0.770000E-01  0.000000E+00 -0.248495E+00   -151.866      0.000    -99.984       7
     8.00000  0.152000E+00  0.000000E+00  0.152000E+00  0.000000E+00 -0.284002E+00   -172.164      0.000    -99.991       8
     9.00000  0.223000E+00  0.000000E+00  0.223000E+00  0.000000E+00 -0.319490E+00   -189.907      0.000   -100.014       9
    10.00000  0.261000E+00  0.000000E+00  0.261000E+00  0.000000E+00 -0.354937E+00   -180.781      0.000   -100.060      10
    11.00000  0.199000E+00  0.000000E+00  0.199000E+00  0.000000E+00 -0.390358E+00   -129.823      0.000   -100.121      11
    12.00000  0.250000E+00  0.000000E+00  0.250000E+00  0.000000E+00 -0.425710E+00   -165.136      0.000   -100.215      12
    13.00000 -0.393000E+00  0.000000E+00 -0.393000E+00  0.000000E+00 -0.460977E+00    -56.389      0.000   -100.342      13
    14.00000 -0.279000E+00  0.000000E+00 -0.279000E+00  0.000000E+00 -0.496113E+00   -108.441      0.000   -100.512      14
    15.00000 -0.298500E+01  0.000000E+00 -0.298500E+01  0.000000E+00 -0.531107E+00    -20.271      0.000   -100.721      15
    16.00000 -0.404300E+01  0.000000E+00 -0.404300E+01  0.000000E+00 -0.565904E+00    -29.273      0.000   -100.972      16
    17.00000 -0.465100E+01  0.000000E+00 -0.465100E+01  0.000000E+00 -0.600491E+00    -35.679      0.000   -101.221      17
    18.00000 -0.528100E+01  0.000000E+00 -0.528100E+01  0.000000E+00 -0.635275E+00    -35.912      0.000   -100.488      18
    19.00000 -0.729800E+01  0.000000E+00 -0.729800E+01  0.000000E+00 -0.671737E+00    -21.394      0.000    -96.668      19
    20.00000 -0.889800E+01  0.000000E+00 -0.889800E+01  0.000000E+00 -0.720325E+00    -23.063      0.000    -84.086      20
    21.00000 -0.104920E+02  0.000000E+00 -0.104920E+02  0.000000E+00 -0.869910E+00    -23.021      0.000    -50.712      21
    22.00000 -0.106140E+02  0.000000E+00 -0.106140E+02  0.000000E+00 -0.147170E+01    -42.417      0.000    -31.188      22
    23.00000 -0.121020E+02  0.000000E+00 -0.121020E+02  0.000000E+00 -0.242840E+01    -25.091      0.000    -29.280      23
    24.00000 -0.134180E+02  0.000000E+00 -0.134180E+02  0.000000E+00 -0.339796E+01    -25.689      0.000    -28.929      24
    25.00000 -0.135230E+02  0.000000E+00 -0.135230E+02  0.000000E+00 -0.445955E+01    -43.976      0.000    -27.997      25
    26.00000 -0.137140E+02  0.000000E+00 -0.137140E+02  0.000000E+00 -0.547531E+01    -46.690      0.000    -29.616      26
    27.00000 -0.136780E+02  0.000000E+00 -0.136780E+02  0.000000E+00 -0.632153E+01    -58.948      0.000    -32.311      27
    28.00000 -0.136590E+02  0.000000E+00 -0.136590E+02  0.000000E+00 -0.702211E+01    -64.404      0.000    -35.191      28
