 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  11:34:41
 Units: L = cm   , T = days , M = ug   



                               Node( 18)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          0.0010     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0020     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0033     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0050     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0072     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0100     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0138     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0186     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0249     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0330     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0436     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0574     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0753     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.0986     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.1289     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.1683     -100.00  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.2195      -99.99  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.2860      -99.96  0.2426   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.3753      -99.88  0.2427   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.4794      -99.74  0.2428   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.6095      -99.48  0.2430   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          0.8048      -98.96  0.2433   20.000  0.1799E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          1.0000      -98.35  0.2438   20.000  0.1799E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          1.2500      -97.71  0.2443   20.000  0.1799E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          1.5000      -97.41  0.2445   20.000  0.1800E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          1.7500      -97.46  0.2445   20.000  0.1801E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          2.0000      -97.81  0.2442   20.000  0.1802E+02       -100.00  0.2426   20.000  0.0000E+00       -100.00  0.2426   20.000  0.0000E+00
          2.5000      -99.10  0.2433   20.000  0.1804E+02       -100.00  0.2426   20.000  0.2744E-28       -100.00  0.2426   20.000  0.0000E+00
          3.0000     -100.60  0.2422   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1396E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0010     -100.58  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1401E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0023     -100.59  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1408E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0040     -100.59  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1417E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0062     -100.60  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1429E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0090     -100.61  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1445E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0128     -100.62  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1466E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0176     -100.63  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1493E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0239     -100.65  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1530E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0320     -100.68  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1578E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0426     -100.71  0.2421   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1644E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0564     -100.75  0.2420   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1734E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0743     -100.81  0.2420   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1858E-26       -100.00  0.2426   20.000  0.0000E+00
          3.0976     -100.88  0.2419   20.000  0.1804E+02       -100.00  0.2426   20.000  0.2032E-26       -100.00  0.2426   20.000  0.0000E+00
          3.1279     -100.98  0.2419   20.000  0.1804E+02       -100.00  0.2426   20.000  0.2283E-26       -100.00  0.2426   20.000  0.0000E+00
          3.1673     -101.10  0.2418   20.000  0.1804E+02       -100.00  0.2426   20.000  0.2657E-26       -100.00  0.2426   20.000  0.0000E+00
          3.2185     -101.27  0.2416   20.000  0.1804E+02       -100.00  0.2426   20.000  0.3236E-26       -100.00  0.2426   20.000  0.0000E+00
          3.2850     -101.47  0.2415   20.000  0.1804E+02       -100.00  0.2426   20.000  0.4185E-26       -100.00  0.2426   20.000  0.0000E+00
          3.3744     -101.74  0.2413   20.000  0.1804E+02       -100.00  0.2426   20.000  0.5918E-26       -100.00  0.2426   20.000  0.0000E+00
          3.4787     -102.04  0.2411   20.000  0.1804E+02       -100.00  0.2426   20.000  0.8877E-26       -100.00  0.2426   20.000  0.0000E+00
          3.6090     -102.39  0.2408   20.000  0.1804E+02       -100.00  0.2426   20.000  0.1479E-25       -100.00  0.2426   20.000  0.0000E+00
          3.8045     -102.85  0.2405   20.000  0.1804E+02        -99.99  0.2426   20.000  0.3246E-25       -100.00  0.2426   20.000  0.0000E+00
          4.0000     -103.26  0.2402   20.000  0.1803E+02        -99.99  0.2426   20.000  0.7116E-25       -100.00  0.2426   20.000  0.0000E+00
          4.2500     -103.74  0.2398   20.000  0.1803E+02        -99.99  0.2426   20.000  0.2005E-24       -100.00  0.2426   20.000  0.0000E+00
          4.6250     -104.41  0.2393   20.000  0.1803E+02        -99.99  0.2426   20.000  0.1170E-23       -100.00  0.2426   20.000  0.0000E+00
          5.0000     -105.06  0.2389   20.000  0.1802E+02        -99.98  0.2426   20.000  0.6577E-23        -99.99  0.2426   20.000  0.0000E+00
