 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   



                               Node( 10)                                 Node( 26)                                 Node( 51)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          0.0010        0.00  0.3500   20.000  0.3651E-21          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0020        0.00  0.3500   20.000  0.7142E-20          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0033        0.00  0.3500   20.000  0.2008E-18          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0050        0.00  0.3500   20.000  0.5139E-17          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0072        0.00  0.3500   20.000  0.1103E-15          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0100        0.00  0.3500   20.000  0.1993E-14          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0138        0.00  0.3500   20.000  0.3060E-13          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0186        0.00  0.3500   20.000  0.4006E-12          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0249        0.00  0.3500   20.000  0.4462E-11          0.00  0.3500   20.000  0.2955E-28          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0330        0.00  0.3500   20.000  0.4215E-10          0.00  0.3500   20.000  0.1168E-25          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
          0.0436        0.00  0.3500   20.000  0.3359E-09          0.00  0.3500   20.000  0.3461E-23          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00          0.00  0.3500   20.000  0.0000E+00
