 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:37: 6
 Units: L = cm   , T = days , M = mg   



                               Node( 10)                                 Node( 26)                                 Node( 51)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          0.0010        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0020        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0033        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0050        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0072        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0100        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0138        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0186        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0249        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0330        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0436        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
          0.0574        0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03          0.00  0.3500   20.000  0.1000E-03
