"PYL60 - RawData"
"Wavelength nm.","Abs."
200.00, 
200.50, 
201.00, 
201.50, 
202.00, 
202.50, 
203.00, 
203.50, 
204.00, 
204.50, 
205.00, 
205.50, 
206.00, 
206.50, 
207.00, 
207.50, 
208.00, 
208.50, 
209.00, 
209.50, 
210.00, 
210.50, 
211.00, 
211.50, 
212.00, 
212.50, 
213.00, 
213.50, 
214.00, 
214.50, 
215.00, 
215.50, 
216.00, 
216.50, 
217.00, 
217.50, 
218.00, 
218.50, 
219.00, 
219.50, 
220.00, 
220.50, 
221.00, 
221.50, 
222.00, 
222.50, 
223.00, 
223.50, 
224.00, 
224.50, 
225.00, 
225.50, 
226.00, 
226.50, 
227.00, 
227.50, 
228.00, 
228.50, 
229.00, 
229.50, 
230.00, 
230.50, 
231.00, 
231.50, 
232.00, 
232.50, 
233.00, 
233.50, 
234.00, 
234.50, 
235.00, 
235.50, 
236.00, 
236.50, 
237.00, 
237.50, 
238.00, 
238.50, 
239.00, 
239.50, 
240.00, 
240.50, 
241.00, 
241.50, 
242.00, 
242.50, 
243.00, 
243.50, 
244.00, 
244.50, 
245.00, 
245.50, 
246.00, 
246.50, 
247.00, 
247.50, 
248.00, 
248.50, 
249.00, 
249.50, 
250.00, 
250.50, 
251.00, 
251.50, 
252.00, 
252.50, 
253.00, 
253.50, 
254.00, 
254.50, 
255.00, 
255.50, 
256.00, 
256.50, 
257.00, 
257.50, 
258.00, 
258.50, 
259.00, 
259.50, 
260.00, 
260.50, 
261.00, 
261.50, 
262.00, 
262.50, 
263.00, 
263.50, 
264.00, 
264.50, 
265.00, 
265.50, 
266.00, 
266.50, 
267.00, 
267.50, 
268.00, 
268.50, 
269.00, 
269.50, 
270.00, 
270.50, 
271.00, 
271.50, 
272.00, 
272.50, 
273.00, 
273.50, 
274.00, 
274.50, 
275.00, 
275.50, 
276.00, 
276.50, 
277.00, 
277.50, 
278.00, 
278.50, 
279.00, 
279.50, 
280.00, 
280.50, 
281.00, 
281.50, 
282.00, 
282.50, 
283.00, 
283.50, 
284.00, 
284.50, 
285.00, 
285.50, 
286.00, 
286.50, 
287.00, 
287.50, 
288.00, 
288.50, 
289.00, 
289.50, 
290.00, 
290.50, 
291.00, 
291.50, 
292.00, 
292.50, 
293.00, 
293.50, 
294.00, 
294.50, 
295.00, 
295.50, 
296.00, 
296.50, 
297.00, 
297.50, 
298.00, 
298.50, 
299.00, 
299.50, 
300.00,0.121
300.50, 
301.00,0.121
301.50, 
302.00,0.119
302.50, 
303.00,0.120
303.50, 
304.00,0.120
304.50, 
305.00,0.123
305.50, 
306.00,0.118
306.50, 
307.00,0.118
307.50, 
308.00,0.118
308.50, 
